Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Sergej Vasil'evič Rachmaninov | Rachmaninov, Sergej Vasil'evič  | 25649 | -1 | russo
Charles Racquet | Racquet, Charles  | 2142733 | 1600 | francese
Ann Radcliffe | Radcliffe, Ann  | 28531 | 1700 | inglese
Raffaello Sanzio | Raffaello Sanzio  | 1615963 | 1500 | italiano
Ernesto Ragazzoni | Ragazzoni, Ernesto  | 1466344 | 1800 | italiano
Giovanni Rajberti | Rajberti, Giovanni  | 3703795 | 1800 | italiano
Pio Rajna | Rajna, Pio  | 1746715 | 1800 | italiano
Bernardino Ramazzini | Ramazzini, Bernardino  | 1063534 | 1600 | italiano
Jean-Philippe Rameau | Rameau, Jean-Philippe  | 94900 | 1700 | francese
Giovan Battista Ramusio | Ramusio, Giovan Battista  | 1988545 | 1500 | italiano
Antonio Ranieri | Ranieri, Antonio  | 1192063 | 1800 | italiano
Mario Rapisardi | Rapisardi, Mario  | 427967 | -1 | Non pervenuta
Vitaliano Ravagli | Ravagli, Vitaliano  | 2432825 | -1 | Non pervenuta
Maurice Ravel | Ravel, Maurice  | 112844 | -1 | francese
Ciro Ravenna | Ravenna, Ciro  | 5849828 | 1900 | italiano
Elisée Reclus | Reclus, Elisée  | 1282222 | -1 | Non pervenuta
Francesco Redi | Redi, Francesco  | 207779 | 1600 | italiano
Max Reger | Reger, Max  | 613470 | 1800 | tedesco
Arturo Reghini | Reghini, Arturo  | 328147 | 1900 | italiano
Ernest Renan | Renan, Ernest  | 130896 | 1800 | francese
Giustina Renier Michiel | Renier Michiel, Giustina  | 3900494 | 1700 | italiana
Giuseppe Rensi | Rensi, Giuseppe  | 40983 | 1900 | italiano
Ottorino Respighi | Respighi, Ottorino  | 426154 | 1800 | italiano
Umberto Ricci | Ricci, Umberto  | 253874 | 1900 | italiano
Carlo Righetti | Righetti, Carlo  | 1813080 | -1 | Non pervenuta
Augusto Righi | Righi, Augusto  | 6905502 | -1 | Non pervenuta
Rainer Maria Rilke | Rilke, Rainer Maria  | 136202 | -1 | austriaco
Nikolaj Andreevič Rimskij-Korsakov | Rimskij-Korsakov, Nikolaj Andreevič  | 202451 | 1800 | russo
Emiliano Rinaldini | Rinaldini, Emiliano  | 4038330 | -1 | italiano
Cesare Ripa | Ripa, Cesare  | 241443 | 1600 | italiano
Ceccardo Roccatagliata Ceccardi | Roccatagliata Ceccardi, Ceccardo  | 599513 | 1900 | italiano
Antonio Rocco | Rocco, Antonio  | 1598093 | 1500 | italiano
Egisto Roggero | Roggero, Egisto  | 4385685 | 1800 | italiano
Gerhard Rohlfs | Rohlfs, Gerhard  | 1140350 | -1 | Non pervenuta
Luigi Rolando | Rolando, Luigi  | 1149395 | -1 | Non pervenuta
Augusto Romagnoli | Romagnoli, Augusto  | 3853976 | 1900 | italiano
Ettore Romagnoli | Romagnoli, Ettore  | 1707572 | 1900 | italiano
Felice Romani | Romani, Felice  | 2397754 | 1800 | italiano
Bernhard Heinrich Romberg | Romberg, Bernhard Heinrich  | 6799202 | -1 | Non pervenuta
Carlo Romussi | Romussi, Carlo  | 4150984 | 1800 | italiano
Gino Roncaglia | Roncaglia, Gino  | 3472860 | -1 | Non pervenuta
Giovanna Rosa | Rosa, Giovanna  | 4455300 | 1900 | italiana
Giovanni Rosadi | Rosadi, Giovanni  | 3971163 | 1900 | italiano
Giuseppe Rose | Rose, Giuseppe  | 2971155 | 1900 | italiano
Michele Rosi | Rosi, Michele  | 6908835 | 1800 | italiano
Antonio Rosmini Serbati | Rosmini Serbati, Antonio  | 1156557 | -1 | Non pervenuta
Carlo Rosselli | Rosselli, Carlo  | 54494 | -1 | Non pervenuta
Nello Rosselli | Rosselli, Nello  | 1632069 | 1900 | italiano
Adolfo Rossi | Rossi, Adolfo  | 1490316 | 1800 | italiano
Giovanni Rossi | Rossi, Giovanni  | 3835189 | -1 | Non pervenuta
Gioachino Rossini | Rossini, Gioachino  | 2165 | 1800 | italiano
Edmond Rostand | Rostand, Edmond  | 365814 | 1800 | francese
Jean-Jacques Rousseau | Rousseau, Jean-Jacques  | 719019 | -1 | svizzero
Albert Roussel | Roussel, Albert  | 1035911 | 1900 | francese
Giuseppe Rovani | Rovani, Giuseppe  | 21701 | 1800 | italiano
Gerolamo Rovetta | Rovetta, Gerolamo  | 783422 | 1800 | italiano
Anton Grigorevič Rubinštejn | Rubinštejn, Anton Grigorevič  | 807744 | 1800 | russo
Francesco Ruffini | Ruffini, Francesco  | 1068383 | 1900 | italiano
Giovanni Ruffini | Ruffini, Giovanni  | 6563374 | -1 | Non pervenuta
Vittorio Russo | Russo, Vittorio  | 4410972 | -1 | Non pervenuta
Luigi Russolo | Russolo, Luigi  | 69019 | 1900 | italiano
Giuseppe Sabatini | Sabatini, Giuseppe  | 4223079 | -1 | italiano
Franco Sacchetti | Sacchetti, Franco  | 350618 | 1300 | italiano
Roberto Sacchetti | Sacchetti, Roberto  | 1211041 | 1800 | italiano
Defendente Sacchi | Sacchi, Defendente  | 1343263 | 1800 | italiano
Calogero Angelo Sacheli | Sacheli, Calogero Angelo  | 678856 | 1900 | italiano
Aurelio Saffi | Saffi, Aurelio  | 94755 | 1800 | italiano
Camille Saint-Saëns | Saint-Saëns, Camille  | 217799 | -1 | francese
Carmelo Salanitro | Salanitro, Carmelo  | 719803 | 1900 | italiano
Francesco Saverio Salfi | Salfi, Francesco Saverio  | 1679399 | 1700 | italiano
Emilio Salgari | Salgari, Emilio  | 1701 | 1800 | italiano
Gaius Sallustius Crispus | Sallustius Crispus, Gaius  | 6447739 | -1 | Non pervenuta
Diodata Saluzzo Roero | Saluzzo Roero, Diodata  | 2258909 | 1800 | italiana
Iacopo Sannazaro | Sannazaro, Iacopo  | 1394320 | -1 | Non pervenuta
Paolo Sarpi | Sarpi, Paolo  | 853812 | 1500 | italiano
Sebastiano Satta | Satta, Sebastiano  | 1398618 | 1800 | italiano
Nino Savarese | Savarese, Nino  | 625606 | 1900 | italiano
Maria Savi Lopez | Savi Lopez, Maria  | 5716344 | -1 | Non pervenuta
Girolamo Savonarola | Savonarola, Girolamo  | 2414299 | 1400 | italiano
Edoardo Scarfoglio | Scarfoglio, Edoardo  | 323479 | 1800 | italiano
Domenico Scarlatti | Scarlatti, Domenico  | 124162 | 1700 | italiano
Eduardo Scarpetta | Scarpetta, Eduardo  | 117405 | 1800 | italiano
Johann Hermann Schein | Schein, Johann Hermann  | 1747472 | 1600 | tedesco
Giovanni Virginio Schiaparelli | Schiaparelli, Giovanni Virginio  | 2460944 | -1 | Non pervenuta
Friedrich Schiller | Schiller, Friedrich  | 20017 | 1700 | tedesco
Arthur Schopenhauer | Schopenhauer, Arthur  | 1723938 | 1800 | tedesco
Franz Schubert | Schubert, Franz  | 2401264 | 1800 | austriaco
Robert Schumann | Schumann, Robert  | 2414307 | 1800 | tedesco
Heinrich Schütz | Schütz, Heinrich  | 769098 | 1600 | tedesco
Agostino Scilla | Scilla, Agostino  | 1505074 | 1600 | italiano
Domenico Scinà | Scinà, Domenico  | 1289355 | 1700 | italiano
Walter Scott | Scott, Walter  | 54123 | 1800 | scozzese
Angelo Secchi | Secchi, Angelo  | 399456 | -1 | italiano
Emanuele Sella | Sella, Emanuele  | 413348 | -1 | italiano
Matilde Serao | Serao, Matilde  | 323473 | 1900 | italiana
Giovanni Sercambi | Sercambi, Giovanni  | 882237 | 1300 | italiano
Augusto Serena | Serena, Augusto  | 4089828 | 1800 | italiano
Giuseppe Sergi | Sergi, Giuseppe  | 641111 | -1 | italiano
Renato Serra | Serra, Renato  | 1309303 | 1900 | italiano
Luigi Settembrini | Settembrini, Luigi  | 196663 | 1800 | italiano
Giovanni Sforza | Sforza, Giovanni  | 1136907 | -1 | italiano
William Shakespeare | Shakespeare, William  | 15408 | -1 | inglese
Percy Bysshe Shelley | Shelley, Percy Bysshe  | 79322 | -1 | Non pervenuta
Luigi Siciliani | Siciliani, Luigi  | 793107 | 1900 | italiano
Henryk Sienkiewicz | Sienkiewicz, Henryk  | 15155 | -1 | Non pervenuta
Francesco Siliprandi | Siliprandi, Francesco  | 3371373 | -1 | italiano
Thomas Simpson | Simpson, Thomas  | 74854 | -1 | britannico
Christian August Sinding | Sinding, Christian August  | 6805145 | -1 | Non pervenuta
Aleksandr Nikolaevič Skrjabin | Skrjabin, Aleksandr Nikolaevič  | 14533 | -1 | russo
Scipio Slataper | Slataper, Scipio  | 130743 | 1800 | italiano
Bedřich Smetana | Smetana, Bedřich  | 121377 | 1800 | ceco
Ascanio Sobrero | Sobrero, Ascanio  | 523393 | -1 | italiano
Ettore Socci | Socci, Ettore  | 4049572 | 1800 | italiano
Temistocle Solera | Solera, Temistocle  | 510732 | 1800 | italiano
Arrigo Solmi | Solmi, Arrigo  | 1724239 | 1900 | italiano
Sidney Sonnino | Sonnino, Sidney  | 47326 | 1800 | italiano
Albano Sorbelli | Sorbelli, Albano  | 2306975 | 1900 | italiano
Vincenzo Spampanato | Spampanato, Vincenzo  | 4268153 | -1 | italiano
Bertrando Spaventa | Spaventa, Bertrando  | 395804 | 1800 | italiano
Silvio Spaventa Filippi | Spaventa Filippi, Silvio  | 841945 | 1800 | italiano
Sperone Speroni | Speroni, Sperone  | 669115 | 1500 | italiano
Vittorio Spinazzola | Spinazzola, Vittorio  | 4806895 | 1800 | italiano
Gaspare Spontini | Spontini, Gaspare  | 569462 | 1800 | italiano
Gaspara Stampa | Stampa, Gaspara  | 126936 | 1500 | italiana
Rudolf Steiner | Steiner, Rudolf  | 73309 | 1800 | austriaco
Flavia Steno | Steno, Flavia  | 222312 | 1900 | italiana
Laurence Sterne | Sterne, Laurence  | 165882 | 1700 | britannico
Alfred Walter Stewart | Stewart, Alfred Walter  | 2432526 | 1900 | britannico
Max Stirner | Stirner, Max  | 381158 | 1800 | tedesco
Harriet Beecher Stowe | Stowe, Harriet Beecher  | 1061718 | 1800 | statunitense
Giovanni Francesco Straparola | Straparola, Giovanni Francesco  | 313722 | 1500 | italiano
Johann Strauss | Strauss, Johann  | 58570 | -1 | Non pervenuta
Josef Strauss | Strauss, Josef  | 1323102 | 1800 | austriaco
Josef Suk | Suk, Josef  | 1320689 | 1800 | ceco
Arthur Seymour Sullivan | Sullivan, Arthur Seymour  | 6797533 | -1 | Non pervenuta
Felice Supino | Supino, Felice  | 5491527 | 1800 | italiano
Paride Suzzara Verdi | Suzzara Verdi, Paride  | 3362576 | 1800 | italiano
Jonathan Swift | Swift, Jonathan  | 109119 | -1 | irlandese
Paolo Sylos Labini | Sylos Labini, Paolo  | 253981 | -1 | italiano
Karol Szymanowski | Szymanowski, Karol  | 334364 | -1 | polacco
Rabindranath Tagore | Tagore, Rabindranath  | 85111 | -1 | bengalese
Iginio Ugo Tarchetti | Tarchetti, Iginio Ugo  | 4917313 | -1 | Non pervenuta
Giovanni Targioni Tozzetti | Targioni Tozzetti, Giovanni  | 237077 | -1 | italiano
Niccolò Tartaglia | Tartaglia, Niccolò  | 59299 | 1500 | italiano
Giuseppe Tartini | Tartini, Giuseppe  | 136423 | 1700 | italiano
Clarice Tartufari | Tartufari, Clarice  | 2405738 | 1800 | italiana
Giuseppe Tassini | Tassini, Giuseppe  | 2555361 | 1800 | italiano
Torquato Tasso | Tasso, Torquato  | 710598 | 1500 | italiano
Alessandro Tassoni | Tassoni, Alessandro  | 718924 | 1600 | italiano
Georg Philipp Telemann | Telemann, Georg Philipp  | 1040742 | -1 | Non pervenuta
Bruto Teloni | Teloni, Bruto  | 1628022 | -1 | Non pervenuta
Domenico Tempio | Tempio, Domenico  | 1696046 | 1800 | italiano
Carlo Tenca | Tenca, Carlo  | 1486425 | 1800 | italiano
Delio Tessa | Tessa, Delio  | 507542 | 1900 | italiano
Alfredo Testoni | Testoni, Alfredo  | 91271 | 1800 | italiano
André Theuriet | Theuriet, André  | 1889076 | 1800 | francese
Henry David Thoreau | Thoreau, Henry David  | 33434 | 1800 | statunitense
Pietro Thouar | Thouar, Pietro  | 1703667 | 1800 | italiano
Enrico Thovez | Thovez, Enrico  | 205752 | 1800 | italiano
Giuseppe Tigri | Tigri, Giuseppe  | 71318 | 1800 | italiano
Adriano Tilgher | Tilgher, Adriano  | 228173 | -1 | Non pervenuta
Girolamo Tiraboschi | Tiraboschi, Girolamo  | 1672617 | 1700 | italiano
Jean Titelouze | Titelouze, Jean  | 2142697 | 1500 | francese
Lev Nikolaevič Tolstoj | Tolstoj, Lev Nikolaevič  | 2549835 | -1 | Non pervenuta
Niccolò Tommaseo | Tommaseo, Niccolò  | 476749 | 1800 | italiano
Achille Torelli | Torelli, Achille  | 1357906 | 1800 | italiano
Luigi Torelli | Torelli, Luigi  | 760914 | 1800 | italiano
Evangelista Torricelli | Torricelli, Evangelista  | 81558 | 1600 | italiano
Francesco Paolo Tosti | Tosti, Francesco Paolo  | 477505 | 1800 | italiano
Luigi Tosti | Tosti, Luigi  | 2018810 | 1800 | italiano
Federigo Tozzi | Tozzi, Federigo  | 719491 | 1900 | italiano
Silvio Trentin | Trentin, Silvio  | 403398 | 1900 | italiano
Carlo Tresca | Tresca, Carlo  | 823300 | 1800 | italiano
Domenico Tumiati | Tumiati, Domenico  | 3066305 | 1900 | italiano
Ivan Sergeevič Turgenev | Turgenev, Ivan Sergeevič  | 333850 | -1 | russo
Petruccio Ubaldini | Ubaldini, Petruccio  | 2703449 | 1500 | italiano
Primo Uccellini | Uccellini, Primo  | 3278577 | 1800 | italiano
Giovanni Battista Ughetti | Ughetti, Giovanni Battista  | 5531648 | 1800 | italiano
UNESCO | UNESCO  | 728142 | -1 | Non pervenuta
Unione Europea | Unione Europea  | 2127317 | -1 | Non pervenuta
Giovanni Vailati | Vailati, Giovanni  | 409718 | 1800 | italiano
Paolo Valera | Valera, Paolo  | 375122 | 1800 | italiano
Nicola Valletta | Valletta, Nicola  | 4072015 | 1700 | italiano
Luigi Valli | Valli, Luigi  | 2244414 | 1900 | italiano
Giuseppe Vannicola | Vannicola, Giuseppe  | 5730873 | 1800 | italiano
Bartolomeo Vanzetti | Vanzetti, Bartolomeo  | 81522 | -1 | Non pervenuta
Giorgio Vasari | Vasari, Giorgio  | 235320 | 1500 | italiano
Vaticano | Vaticano  | 2925769 | -1 | Non pervenuta
Fabrizio Venerandi | Venerandi, Fabrizio  | 1496008 | 1900 | italiano
Maffio Venier | Venier, Maffio  | 2901405 | 1500 | italiano
Adolfo Venturi | Venturi, Adolfo  | 2651797 | -1 | Non pervenuta
Grazia Verasani | Verasani, Grazia  | 3077729 | 1900 | italiana
Giuseppe Verdi | Verdi, Giuseppe  | 2949972 | -1 | Non pervenuta
Federigo Verdinois | Verdinois, Federigo  | 2025889 | 1800 | italiano
Giovanni Verga | Verga, Giovanni  | 2755707 | -1 | Non pervenuta
Jules Verne | Verne, Jules  | 2148 | 1800 | francese
Angela Veronese | Veronese, Angela  | 1003830 | -1 | Non pervenuta
Alessandro Verri | Verri, Alessandro  | 2276566 | 1700 | italiano
Carlo Verri | Verri, Carlo  | 2290743 | 1700 | italiano
Pietro Verri | Verri, Pietro  | 275107 | 1700 | italiano
Anna Vertua Gentile | Vertua Gentile, Anna  | 6108101 | 1900 | italiana
Francesco Vettori | Vettori, Francesco  | 493918 | 1500 | italiano
Lorenzo Viani | Viani, Lorenzo  | 628581 | 1900 | italiano
Giambattista Vico | Vico, Giambattista  | 2050150 | 1600 | italiano
Henri Vieuxtemps | Vieuxtemps, Henri  | 1097873 | -1 | belga
Giuseppe Vigoni | Vigoni, Giuseppe  | 3378592 | -1 | Non pervenuta
Antonio Villa | Villa, Antonio  | 3800510 | 1800 | italiano
Giovanni Villani | Villani, Giovanni  | 118534 | 1300 | italiano
Pasquale Villari | Villari, Pasquale  | 717813 | 1800 | italiano
Auguste Villiers de l'Isle-Adam | Villiers de l'Isle-Adam, Auguste  | 1211947 | -1 | Non pervenuta
Alfredo Violante | Violante, Alfredo  | 3868895 | 1900 | italiano
Alberto Viriglio | Viriglio, Alberto  | 6571371 | 1800 | italiano
Antonio Vismara | Vismara, Antonio  | 4300393 | -1 | italiano
Tomaso Antonio Vitali | Vitali, Tomaso Antonio  | 1316409 | 1600 | italiano
Antonio Vivaldi | Vivaldi, Antonio  | 37546 | 1700 | italiano
Annie Vivanti | Vivanti, Annie  | 541461 | 1800 | italiana
Vincenzo Viviani | Viviani, Vincenzo  | 486372 | 1600 | italiano
Gaetano Volpi | Volpi, Gaetano  | 499734 | 1700 | italiano
Alessandro Volta | Volta, Alessandro  | 9637 | 1700 | italiano
Vito Volterra | Volterra, Vito  | 120377 | -1 | Non pervenuta
Richard Wagner | Wagner, Richard  | 59696 | 1800 | tedesco
Alfred Russel Wallace | Wallace, Alfred Russel  | 2567072 | 1800 | gallese
Horace Walpole | Walpole, Horace  | 24225 | 1700 | inglese
Herbert George Wells | Wells, Herbert George  | 372321 | -1 | Non pervenuta
Jessie White Mario | White Mario, Jessie  | 2000820 | -1 | Non pervenuta
Erasmus Widmann | Widmann, Erasmus  | 3126941 | 1600 | tedesco
Henryk Wieniawski | Wieniawski, Henryk  | 1319828 | -1 | polacco
Oscar Wilde | Wilde, Oscar  | 2796142 | -1 | irlandese
Hugo Wolf | Wolf, Hugo  | 1972516 | 1800 | austriaco
Virginia Woolf | Woolf, Virginia  | 70609 | -1 | Non pervenuta
World Wide Web Consortium | World Wide Web Consortium  | 4534 | -1 | Non pervenuta
Wu Ming | Wu Ming  | 78203 | -1 | Non pervenuta
Wu Ming 1 | Wu Ming 1  | 4485081 | 2000 | italiano
Wu Ming 2 | Wu Ming 2  | 4487038 | 2000 | italiano
Wu Ming 5 | Wu Ming 5  | 4625865 | 2000 | italiano
Wilhelm Wundt | Wundt, Wilhelm  | 54608 | 1800 | tedesco
Giacomo Zanella | Zanella, Giacomo  | 42282 | 1800 | italiano
Alex Zanotelli | Zanotelli, Alex  | 47528 | -1 | italiano
Émile Zola | Zola, Émile  | 96375 | 1800 | francese
