Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Libero Bovio | Bovio, Libero  | 481733 | 1900 | italiano
Ernesto Bozzano | Bozzano, Ernesto  | 347866 | -1 | italiano
Umberto Bozzini | Bozzini, Umberto  | 1638263 | 1900 | italiano
Roberto Bracco | Bracco, Roberto  | 1203765 | 1800 | italiano
Johannes Brahms | Brahms, Johannes  | 19888 | 1800 | tedesco
Gianni Brera | Brera, Gianni  | 298657 | 1900 | italiano
Giovanni Battista Brocchi | Brocchi, Giovanni Battista  | 2936709 | -1 | Non pervenuta
Angelo Brofferio | Brofferio, Angelo  | 839329 | 1800 | italiano
Charlotte Brontë | Brontë, Charlotte  | 313937 | 1800 | inglese
Anton Bruckner | Bruckner, Anton  | 2407662 | -1 | austriaco
Rita Brunetti | Brunetti, Rita  | 2214333 | 1900 | italiana
Giuseppe Bruni | Bruni, Giuseppe  | 5731474 | 1900 | italiano
Leonardo Bruni | Bruni, Leonardo  | 286787 | -1 | Non pervenuta
Giordano Bruno | Bruno, Giordano  | 1682878 | 1500 | italiano
Girolamo Brusoni | Brusoni, Girolamo  | 648129 | 1600 | italiano
Ernesto Buonaiuti | Buonaiuti, Ernesto  | 438388 | 1900 | italiano
Michelangelo Buonarroti | Buonarroti, Michelangelo  | 2234647 | -1 | Non pervenuta
Bruno Buozzi | Buozzi, Bruno  | 286379 | 1900 | italiano
Andrew Burnaby | Burnaby, Andrew  | 3072578 | -1 | britannico
Alessandra Buschi | Buschi, Alessandra  | 4570164 | 1900 | italiana
Ferruccio Busoni | Busoni, Ferruccio  | 37508 | 1800 | italiano
Enrico Annibale Butti | Butti, Enrico Annibale  | 4058671 | 1800 | italiano
George Gordon Byron | Byron, George Gordon  | 24142 | 1800 | inglese
Antonio Caccianiga | Caccianiga, Antonio  | 3413454 | 1800 | italiano
Niccolò Cacciatore | Cacciatore, Niccolò  | 565371 | -1 | italiano
Giulio Caccini | Caccini, Giulio  | 2171 | 1500 | italiano
Carlo Cafiero | Cafiero, Carlo  | 24474 | 1800 | italiano
Achille Giovanni Cagna | Cagna, Achille Giovanni  | 674855 | 1800 | italiano
Manfredo Cagni | Cagni, Manfredo  | 6069409 | 1800 | italiano
Enrico Calandra | Calandra, Enrico  | 5037199 | 1800 | italiano
Vincenzo Calestani | Calestani, Vincenzo  | 3272844 | 1600 | italiano
Guido Calza | Calza, Guido  | 3558467 | 1900 | italiano
Giulio Camillo | Camillo, Giulio  | 2714705 | -1 | Non pervenuta
Mario Camis | Camis, Mario  | 3014766 | 1900 | italiano
Salvatore Cammarano | Cammarano, Salvatore  | 452698 | -1 | Non pervenuta
Dino Campana | Campana, Dino  | 47247 | 1900 | italiano
Tommaso Campanella | Campanella, Tommaso  | 79881 | 1600 | italiano
Luigi Campolonghi | Campolonghi, Luigi  | 870517 | 1900 | italiano
Giovanni Canestrini | Canestrini, Giovanni  | 6573859 | -1 | Non pervenuta
Luigi Canina | Canina, Luigi  | 82456 | 1800 | italiano
Christian Cannabich | Cannabich, Christian  | 2610778 | 1700 | tedesco
Stanislao Cannizzaro | Cannizzaro, Stanislao  | 22934 | 1800 | italiano
Alberto Cantoni | Cantoni, Alberto  | 666447 | 1800 | italiano
Giovanni Cantoni | Cantoni, Giovanni  | 565911 | 1900 | italiano
Cesare Cantù | Cantù, Cesare  | 21603 | 1800 | italiano
Bartolomeo Capasso | Capasso, Bartolomeo  | 1760065 | -1 | Non pervenuta
Galeazzo Flavio Capella | Capella, Galeazzo Flavio  | 870331 | 1400 | italiano
Gino Capponi | Capponi, Gino  | 653026 | 1800 | italiano
Domenico Capranica | Capranica, Domenico  | 482700 | 1400 | italiano
Luigi Capuana | Capuana, Luigi  | 97828 | 1800 | italiano
Enrichetta Caracciolo | Caracciolo, Enrichetta  | 2593649 | 1800 | italiana
Enrichetta Carafa Capecelatro | Carafa Capecelatro, Enrichetta  | 4037906 | 1800 | italiana
Giulio Carcano | Carcano, Giulio  | 1691675 | 1800 | italiano
Girolamo Cardano | Cardano, Girolamo  | 5944271 | -1 | Non pervenuta
