Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Michael Gilbert | Gilbert, Michael | 2431151 | 1900 | britannico | 1912 | 2006 | M | M
Alessandro Gilioli | Gilioli, Alessandro | 2209774 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Anton Gill | Gill, Anton | 1263012 | 1900 | britannico | 1948 |  | M | M
Dorothy Gilman | Gilman, Dorothy | 4973672 | 1900 | statunitense<!-- Idem --> | 1923 | 2012 | F | F
Alicia Gimenez-Bartlett | Gimenez-Bartlett, Alicia | 578693 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Allen Ginsberg | Ginsberg, Allen | 23645 | -1 | statunitense | 1926 | 1997 | M | M
Paul Ginsborg | Ginsborg, Paul | 271687 | 1900 | inglese | 1945 |  | M | M
Carlo Ginzburg | Ginzburg, Carlo | 483040 | 1900 | italiano | 1939 |  | M | M
Lisa Ginzburg | Ginzburg, Lisa | 6183731 | 1900 | italiana | 1966 |  | F | F
Natalia Ginzburg | Ginzburg, Natalia | 109894 | 1900 | italiana | 1916 | 1991 | F | F
Vincenzo Gioberti | Gioberti, Vincenzo | 114594 | 1800 | italiano | 1801 | 1852 | M | M
Jean Giono | Giono, Jean | 1120108 | 1900 | francese | 1895 | 1970 | M | M
Emanuele Giordana | Giordana, Emanuele | 2762764 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Mario Giordano | Giordano, Mario | 1147393 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Paolo Giordano | Giordano, Paolo | 1618296 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giulio Giorello | Giorello, Giulio | 483226 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Vittorio Giorgini | Giorgini, Vittorio | 2314057 | 1900 | italiano | 1926 | 2010 | M | M
Agostino Giovagnoli | Giovagnoli, Agostino | 5881615 | 1900 | italiano | 1952 |  | M | M
Giovanni | Giovanni,  | 4587199 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
De Giovanni | Giovanni, De | 6905052 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
di Giovanni | Giovanni, di | 5685958 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Fabio Giovannini | Giovannini, Fabio | 6433780 | XX | italiano | 1958 |  | M | M
Renato Giovannoli | Giovannoli, Renato | 6563973 | 1900 | italiano | 1956 |  | M | M
Giovenale | Giovenale | 114173 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
George Gipe | Gipe, George | 5512462 | -1 | statunitense | 1933 | 1986 | M | M
Antonio Girardi | Girardi, Antonio | 3421485 | -1 | italiano | 1963 |  | M | M
Giulio Girardi | Girardi, Giulio | 500091 | 1900 | italiano | 1926 | 2012 | M | M
giovanni Giraud | Giraud, giovanni | 1328156 | 1800 | italiano | 1776 | 1834 | M | M
Jean Giraudoux | Giraudoux, Jean | 219943 | 1900 | francese | 1882 | 1944 | M | M
Victor Gischler | Gischler, Victor | 3313391 | 2000 | statunitense |  |  | M | M
Giovanni Giudici | Giudici, Giovanni | 91088 | 1900 | italiano | 1924 | 2011 | M | M
Gino Giugni | Giugni, Gino | 254338 | 1900 | italiano | 1927 | 2009 | M | M
Paolo Giuranna | Giuranna, Paolo | 3464791 | 1900 | italiano | 1935 |  | M | M
Flavio Giuseppe | Giuseppe, Flavio | 49422 | 0 | romano | [[37]]-[[38]] circa | [[100]] circa | M | M
Luigi Giussani | Giussani, Luigi | 1851778 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giuseppe Giusti | Giusti, Giuseppe | 226755 | 1800 | italiano | 1809 | 1850 | M | M
Michele Giuttari | Giuttari, Michele | 2707330 | 2000 | italiano | 1950 |  | M | M
michele Giuttari | Giuttari, michele | 2707330 | 2000 | italiano | 1950 |  | M | M
sergio Givone | Givone, sergio | 831034 | 1900 | italiano | 1944 |  | M | M
Daniel Glattauer | Glattauer, Daniel | 3980486 | 1900 | austriaco | 1960 |  | M | M
Friedrich Glauser | Glauser, Friedrich | 563619 | 1900 | svizzero | 1896 | 1938 | M | M
Thomas Glavinic | Glavinic, Thomas | 2394332 | -1 | austriaco | 1972 |  | M | M
Colleen Gleason | Gleason, Colleen | 3972176 | XXI | statunitense |  |  | F | F
vittorio Gleijeses | Gleijeses, vittorio | 1768952 | 1900 | italiano | 1919 | 2009 | M | M
Abbi Glines | Glines, Abbi | 5960717 | -1 | statunitense | 1977 |  | F | F
Donald Glut | Glut, Donald | 5894162 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Alessandro Gnocchi | Gnocchi, Alessandro | 4613097 | 1900 | italiano | 1959 |  | M | M
Don Gnocchi | Gnocchi, Don | 2033988 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Elisabetta Gnone | Gnone, Elisabetta | 1696191 | 2000 | italiana | 1965 |  | F | F
Piero Gobetti | Gobetti, Piero | 56868 | 1900 | italiano | 1901 | 1926 | M | M
Anna Godbersen | Godbersen, Anna | 2254886 | XXI | statunitense | 1980 |  | F | F
Rumer Godden | Godden, Rumer | 1869002 | 1900 | inglese | 1907 | 1998 | F | F
Tom Godwin | Godwin, Tom | 1611536 | 1900 | statunitense | 1915 | 1980 | M | M
Johann Goethe | Goethe, Johann | 1420084 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Erving Goffman | Goffman, Erving | 213207 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Nikolaj Gogol | Gogol, Nikolaj | 370425 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
arthur Golden | Golden, arthur | 1427006 | 1900 | statunitense | 1956 |  | M | M
Christie Golden | Golden, Christie | 3399215 | 1900 | statunitense | 1963 |  | F | F
Daniel Goldhagen | Goldhagen, Daniel | 2089247 | -1 | statunitense | 1959 |  | M | M
William Goldman | Goldman, William | 2095709 | XX | statunitense | 1931 |  | M | M
Carlo Goldoni | Goldoni, Carlo | 711248 | 1700 | italiano | 1707 | 1793 | M | M
Luca Goldoni | Goldoni, Luca | 483215 | 1900 | italiano  | 1928 |  | M | M
Robert Goldsborough | Goldsborough, Robert | 1161930 | 1900 | statunitense | 1937 |  | M | M
Oliver Goldsmith | Goldsmith, Oliver | 1307934 | 1700 | irlandese | 1730 | 1774 | M | M
Daniel Goleman | Goleman, Daniel | 469623 | XX | statunitense | 1946 |  | M | M
Camillo Golgi | Golgi, Camillo | 104242 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
anne Golon | Golon, anne | 2175921 | 1900 | francese | 1921 | 2017 | F | F
ernst Gombrich | Gombrich, ernst | 241507 | -1 | austriaco | 1909 | 2001 | M | M
Witold Gombrowicz | Gombrowicz, Witold | 235375 | -1 | polacco | 1904 | 1969 | M | M
Juan Gomez-Jurado | Gomez-Jurado, Juan | 6998257 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Peter Gomez | Gomez, Peter | 389252 | 1900 | statunitense | 1963 |  | M | M
David Goodis | Goodis, David | 1246583 | 1900 | statunitense | 1917 | 1967 | M | M
Terry Goodkind | Goodkind, Terry | 219933 | 2000 | statunitense | 1948 |  | M | M
Martin Goodman | Goodman, Martin | 1612071 | 1900 | statunitense | 1908 | 1992 | M | M
Jason Goodwin | Goodwin, Jason | 2548754 | 2000 | britannico | 1964 |  | M | M
Vincenzo Cerami | Cerami, Vincenzo | 637278 | 1900 | italiano | 1940 | 2013 | M | M
carla Cerati | Cerati, carla | 1041937 | 1900 | italiana | 1926 | 2016 | F | F
Javier Cercas | Cercas, Javier | 540605 | -1 | spagnolo | 1962 |  | M | M
luca Cerchiari | Cerchiari, luca | 1633847 | -1 | italiano | 1957 |  | M | M
guido Ceronetti | Ceronetti, guido | 237419 | 1900 | italiano | 1927 |  | M | M
Umberto Cerroni | Cerroni, Umberto | 1558162 | 1900 | italiano | 1926 | 2007 | M | M
Alcide Cervi | Cervi, Alcide | 2165884 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Guido Cervo | Cervo, Guido | 1576313 | 2000 | italiano | 1952 |  | M | M
Giorgio Cesarano | Cesarano, Giorgio | 4216287 | 1900 | italiano | 1928 | 1975 | M | M
Caio Cesare | Cesare, Caio | 1284655 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Melchiorre Cesarotti | Cesarotti, Melchiorre | 499858 | 1700 | italiano | 1730 | 1808 | M | M
Gilbert Cesbron | Cesbron, Gilbert | 347477 | 1900 | francese | 1913 | 1979 | M | M
Remo Ceserani | Ceserani, Remo | 3945999 | 1900 | italiano | 1933 | 2016 | M | M
Federico Cesi | Cesi, Federico | 2023314 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Paolo Cevoli | Cevoli, Paolo | 200143 | 1900 | italiano | 1958 |  | M | M
Federico Chabod | Chabod, Federico | 253406 | 1900 | italiano | 1901 | 1960 | M | M
Michael Chabon | Chabon, Michael | 1810045 | 2000 | statunitense | 1963 |  | M | M
Elizabeth Chandler | Chandler, Elizabeth | 4076898 | 1900 | statunitense |  |  | F | F
Raymond Chandler | Chandler, Raymond | 16061 | 1900 | statunitense | 1888 | 1959 | M | M
Vikram Chandra | Chandra, Vikram | 4814136 | -1 | indiano | 1961 |  | M | M
Charles Chaplin | Chaplin, Charles | 1499 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Gary Chapman | Chapman, Gary | 1658781 | -1 | australiano | 1937 | 1978 | M | M
Rita Charbonnier | Charbonnier, Rita | 2548931 | 2000 | italiana | 1966 |  | F | F
Mehdi Charef | Charef, Mehdi | 677599 | 1900 | francese | 1952 |  | M | M
Ray Charles | Charles, Ray | 1144528 | -1 | statunitense | 1930 | 2004 | M | M
Edmonde Charles-Roux | Charles-Roux, Edmonde | 2952136 | 1900 | francese | 1920 | 2016 | F | F
Daniil Charms | Charms, Daniil | 1801731 | 1900 | sovietico | 1905 | 1942 | M | M
robert Charroux | Charroux, robert | 6674967 | 1900 | francese | 1909 | 1978 | M | M
Maxime Chattam | Chattam, Maxime | 3680534 | 1900 | francese | 1976 |  | M | M
Bruce Chatwin | Chatwin, Bruce | 86430 | 1900 | britannico | 1940 | 1989 | M | M
Geoffrey Chaucer | Chaucer, Geoffrey | 508985 | 1300 | inglese | 1343 | 1400 | M | M
Pierre Chaunu | Chaunu, Pierre | 6191677 | -1 | francese | 1923 | 2009  | M | M
Daniel Chavarria | Chavarria, Daniel | 3763439 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
John Cheever | Cheever, John | 2925499 | 1900 | statunitense | 1912 | 1982 | M | M
Pasquale Chessa | Chessa, Pasquale | 3664604 | 1900 | italiano | 1947 |  | M | M
Caryl Chessman | Chessman, Caryl | 540541 | 1900 | statunitense | 1921 | 1960 | M | M
Gilbert Chesterton | Chesterton, Gilbert | 3773066 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Tracy Chevalier | Chevalier, Tracy | 89331 | 2000 | statunitense | 1962 |  | F | F
Peter Cheyney | Cheyney, Peter | 1001357 | 1900 | inglese | 1896 | 1951 | M | M
Riccardo Chiaberge | Chiaberge, Riccardo | 2020911 | 1900 | italiano | 1947 |  | M | M
Piero Chiambretti | Chiambretti, Piero | 110018 | -1 | italiano | 1956 |  | M | M
Ted Chiang | Chiang, Ted | 2131295 | XX | statunitense | 1967 |  | M | M
Alfredo Chiappori | Chiappori, Alfredo | 5496320 | 1900 | italiano | 1943 |  | M | M
Piero Chiara | Chiara, Piero | 271540 | 1900 | italiano | 1913 | 1986 | M | M
Giuseppe Chiarini | Chiarini, Giuseppe | 1237285 | 1800 | italiano | 1833 | 1908 | M | M
walter Chiari | Chiari, walter | 2414023 | 1900 | italiano | 1924 | 1991 | M | M
Chiaroscuro | Chiaroscuro | 1559451 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giulietto Chiesa | Chiesa, Giulietto | 131512 | 1900 | italiano | 1940 |  | M | M
agostino Chigi | Chigi, agostino | 793793 | -1 | italiano | 1466 | 1520 | M | M
Lee Child | Child, Lee | 629253 | 2000 | britannico | 1954 |  | M | M
Lincoln Child | Child, Lincoln | 2012017 | 1900 | statunitense | 1957 |  | M | M
Chimo | Chimo | 702111 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
sri Chinmoy | Chinmoy, sri | 2493583 | 1900 | indiano | 1931 | 2007 | M | M
Pietro Chiodi | Chiodi, Pietro | 1475744 | 1900 | italiano | 1915 | 1970 | M | M
leo Chiosso | Chiosso, leo | 20186 | 1900 | italiano | 1920 | 2006 | M | M
Una Chi | Chi, Una | 906028 | 1900 | italiana | 1942 |  | F | F
Paulina Chiziane | Chiziane, Paulina | 1683413 | 1900 | mozambicana | 1955 |  | F | F
Noam Chomsky | Chomsky, Noam | 583601 | 1900 | statunitense | 1928 | -1 | M | M
Kate Chopin | Chopin, Kate | 709686 | 1800 | statunitense | 1851 | 1904 | F | F
Deepak Chopra | Chopra, Deepak | 2102051 | 1900 | indiano | 1947 |  | M | M
mohamed Choukri | Choukri, mohamed | 1108257 | 1900 | marocchino | 1935 | 2003 | M | M
Agatha Christie | Christie, Agatha | 12915 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
John Christopher | Christopher, John | 2089761 | 1900 | inglese | 1922 | 2012 | M | M
Riccardo Church | Church, Riccardo | 2062082 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Teresa Ciabatti | Ciabatti, Teresa | 655102 | 2000 | italiana | 1972 |  | F | F
Robert Cialdini | Cialdini, Robert | 1868827 | 1900 | statunitense | 1945 |  | M | M
Fausta Cialente | Cialente, Fausta | 769853 | 1900 | italiana | 1898 | 1994 | F | F
Giacomo Ciamician | Ciamician, Giacomo | 3017159 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Carlo Ciampi | Ciampi, Carlo | 368971 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Francesco Ciampi | Ciampi, Francesco | 550821 | 1600 | italiano | 1690 | ? | M | M
Domenico Ciampoli | Ciampoli, Domenico | 2291973 | 1800 | italiano | 1852 | 1929 | M | M
Massimo Ciancimino | Ciancimino, Massimo | 2755962 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Antonio Cianciullo | Cianciullo, Antonio | 3094377 | 1900 | italiano | 1913 | 1943 | M | M
Galeazzo Ciano | Ciano, Galeazzo | 21581 | 1900 | italiano | 1903 | 1944 | M | M
Benedetta Cibrario | Cibrario, Benedetta | 1937350 | 2000 | italiana | 1962 |  | F | F
Giorgio Cicogna | Cicogna, Giorgio | 2018041 | 1900 | italiano | 1899 | 1932 | M | M
Michele Ciliberto | Ciliberto, Michele | 1973667 | 1900 | italiano | 1945 |  | M | M
Pietro Cimatti | Cimatti, Pietro | 2554202 | XX | italiano | 1929 | 1991 | M | M
Delfino Cinelli | Cinelli, Delfino | 4346484 | 1900 | italiano | 1889 | 1942 | M | M
Carlo Cipolla | Cipolla, Carlo | 329126 | 1800 | italiano | 1854 | 1916 | M | M
Innocenzo Cipolletta | Cipolletta, Innocenzo | 587914 | -1 | italiano | 1941 |  | M | M
Amilcare Cipriani | Cipriani, Amilcare | 208477 | -1 | italiano | 1843 | 1918 | M | M
Gabriele Cirilli | Cirilli, Gabriele | 1104661 | 1900 | italiano | 1967 |  | M | M
Massimo Cirri | Cirri, Massimo | 771532 | -1 | italiano | 1958 |  | M | M
Sandra Cisneros | Cisneros, Sandra | 6784246 | 1900 | statunitense | 1954 |  | F | F
Pietro Citati | Citati, Pietro | 108801 | 1900 | italiano | 1930 |  | M | M
Giovanni Cittadella | Cittadella, Giovanni | 1665192 | 1800 | italiano | 1806 | 1884 | M | M
Stig Claesson | Claesson, Stig | 1802912 | 1900 | svedese | 1928 | 2008 | M | M
Tom Clancy | Clancy, Tom | 365434 | 1900 | statunitense | 1947 | 2013 | M | M
Cassandra Clare | Clare, Cassandra | 2707294 | 2000 | statunitense | 1973 |  | F | F
john Clare | Clare, john | 138025 | 1800 | inglese | 1793 | 1864 | M | M
Clarin | Clarin | 309359 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Arthur Clarke | Clarke, Arthur | 265440 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Stephen Clarke | Clarke, Stephen | 1343964 | -1 | canadese | 1973 |  | M | M
Susanna Clarke | Clarke, Susanna | 280390 | 2000 | inglese | 1959 |  | F | F
Ramsey Clark | Clark, Ramsey | 2840767 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Pierre Clastres | Clastres, Pierre | 3192650 | 1900 | francese | 1934 | 1977 | M | M
Philippe Claudel | Claudel, Philippe | 2231515 | 1900 | francese | 1962 |  | M | M
Claudio Claudiano | Claudiano, Claudio | 83737 | 300 | romano | [[370]] circa | 404 | M | M
Hugo Claus | Claus, Hugo | 1668513 | 1900 | belga | 1929 | 2008 | M | M
James Clavell | Clavell, James | 1101978 | 1900 | australiano | 1924 | 1994 | M | M
John Cleland | Cleland, John | 1349018 | 1700 | inglese | 1709 | 1789 | M | M
Clelia | Clelia | 34713 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
David Clement-Davies | Clement-Davies, David | 4846013 | 1900 | inglese | 1964 |  | M | M
hal Clement | Clement, hal | 2732776 | 1900 | statunitense | 1922 | 2003 | M | M
Marco Clementi | Clementi, Marco | 2498632 | 2000 | italiano | 1965 |  | M | M
James Clifford | Clifford, James | 910228 | 1900 | statunitense | 1945 |  | M | M
Carlo Climati | Climati, Carlo | 688804 | 1900 | italiano | 1963 |  | M | M
bill Clinton | Clinton, bill | 26889 | 1900 | statunitense | 1946 |  | M | M
Stuart Cloete | Cloete, Stuart | 6671724 | 1900 | sudafricano | 1897 | 1976 | M | M
Harlan Coben | Coben, Harlan | 2718784 | XX | statunitense | 1962 |  | M | M
Igino Cocchi | Cocchi, Igino | 3544701 | 1800 | italiano | 1827 | 1913 | M | M
Jean Cocteau | Cocteau, Jean | 91966 | 1900 | francese | 1889 | 1963 | M | M
Luigia Codemo | Codemo, Luigia | 3232367 | 1800 | italiana | 1828 | 1898 | F | F
Jonathan Coe | Coe, Jonathan | 134133 | 1900 | inglese | 1961 |  | M | M
Paulo Coelho | Coelho, Paulo | 2624032 | -1 | brasiliano | 1947 |  | M | M
Leonardo Coen | Coen, Leonardo | 1643806 | 1900 | italiano | 1948 |  | M | M
John Coetzee | Coetzee, John | 2047577 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Paolo Cognetti | Cognetti, Paolo | 2282384 | XXI | italiano | 1978 |  | M | M
Albert Cohen | Cohen, Albert | 4662190 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Napoleone Colajanni | Colajanni, Napoleone | 608523 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Piero Colaprico | Colaprico, Piero | 55483 | 1900 | italiano | 1957 |  | M | M
Kresley Cole | Cole, Kresley | 4204363 | 1900 | statunitense |  |  | F | F
samuel Coleridge | Coleridge, samuel | 393508 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Sidonie-Gabrielle Colette | Colette, Sidonie-Gabrielle | 366993 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Alessandro Coletti | Coletti, Alessandro | 4921913 | 1900 | italiano | 1940 |  | M | M
Eoin Colfer | Colfer, Eoin | 384436 | -1 | irlandese | 1965 |  | M | M
Pandolfo Collenuccio | Collenuccio, Pandolfo | 1329532 | 1400 | italiano | 1444 | 1504 | M | M
Pietro Colletta | Colletta, Pietro | 19250 | 1800 | italiano | 1775 | 1831 | M | M
Giorgio Colli | Colli, Giorgio | 583783 | 1900 | italiano | 1917 | 1979 | M | M
jackie Collins | Collins, jackie | 1963123 | 1900 | britannica | 1937 | 2015 | F | F
Joan Collins | Collins, Joan | 239274 | 1900 | britannica | 1933 |  | F | F
Larry Collins | Collins, Larry | 2026683 | 1900 | statunitense | 1929 | 2005 | M | M
Mabel Collins | Collins, Mabel | 2605017 | 1900 | inglese | 1851 | 1927 | F | F
Michael Collins | Collins, Michael | 49682 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Wilkie Collins | Collins, Wilkie | 19821 | 1800 | inglese | 1824 | 1889 | M | M
Carlo Collodi | Collodi, Carlo | 1408 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Enzo Collotti | Collotti, Enzo | 3721504 | 1900 | italiano | 1929 |  | M | M
Matteo Collura | Collura, Matteo | 1855368 | 1900 | italiano | 1945 |  | M | M
francisco Coloane | Coloane, francisco | 86165 | -1 | cileno | 1910 | 2002 | M | M
Marchesa Colombi | Colombi, Marchesa | 3148986 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Fernando Colombo | Colombo, Fernando | 1150380 | 1400 | spagnolo | 1488 | 1539 | M | M
Furio Colombo | Colombo, Furio | 347657 | 1900 | italiano | 1931 |  | M | M
Gherardo Colombo | Colombo, Gherardo | 504514 | -1 | italiano | 1946 |  | M | M
Luca Colombo | Colombo, Luca | 3862961 | -1 | italiano | 1969 |  | M | M
Francesco Colonna | Colonna, Francesco | 103776 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Vittoria Colonna | Colonna, Vittoria | 137929 | 1500 | italiana | 1490 | 1547 | F | F
Peter Colosimo | Colosimo, Peter | 341724 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Cristina Comencini | Comencini, Cristina | 223226 | 1900 | italiana | 1956 |  | F | F
Alex Comfort | Comfort, Alex | 3305736 | 1900 | britannico | 1920 | 2000 | M | M
Giovanni Comisso | Comisso, Giovanni | 77680 | 1900 | italiano | 1895 | 1969 | M | M
Barry Commoner | Commoner, Barry | 4218955 | 1900 | statunitense | 1917 | 2012 | M | M
giovanni Comotti | Comotti, giovanni | 4285159 | -1 | italiano | 1921 |  | M | M
dino Compagni | Compagni, dino | 118545 | 1300 | italiano | [[1255]] circa | 1324 | M | M
Antoine Compagnon | Compagnon, Antoine | 4536820 | 1900 | francese | 1950 |  | M | M
Luigi Compagnone | Compagnone, Luigi | 1386619 | 1900 | italiano | 1915 | 1998 | M | M
Enrico Compagnoni | Compagnoni, Enrico | 3059565 | 1900 | italiano | 1950 |  | M | M
Pierluigi Concutelli | Concutelli, Pierluigi | 1395319 | 1900 | italiano | 1944 |  | M | M
Confessione | Confessione | 1152458 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Confucio | Confucio | 915 | -1 | cinese | {{Citazione necessaria|28 settembre}} [[551 a.C.]] | 479 a.C. | M | M
Michael Connelly | Connelly, Michael | 211062 | -1 | statunitense | 1956 |  | M | M
John Connolly | Connolly, John | 616940 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Robert Conquest | Conquest, Robert | 1202959 | -1 | inglese | 1917 | 2015 | M | M
Joseph Conrad | Conrad, Joseph | 39181 | 1800 | polacco | 1857 | 1924 | M | M
Pat Conroy | Conroy, Pat | 3278152 | 1900 | statunitense | 1945 | 2016 | M | M
Massimo Consoli | Consoli, Massimo | 361166 | 1900 | italiano | 1945 | 2007 | M | M
Vincenzo Consolo | Consolo, Vincenzo | 109527 | 1900 | italiano | 1933 | 2012 | M | M
Benjamin Constant | Constant, Benjamin | 633920 | 1700 | francese | 1767 | 1830 | M | M
Giuseppe Conte | Conte, Giuseppe | 1835792 | 1900 | italiano | 1945 |  | M | M
Alessandro Conti | Conti, Alessandro | 4783089 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Beppe Conti | Conti, Beppe | 2998069 | 1900 | italiano | 1951 |  | M | M
Giuseppe Conti | Conti, Giuseppe | 2998071 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Guido Conti | Conti, Guido | 2220850 | 1900 | italiano | 1965 |  | M | M
Luca Conti | Conti, Luca | 2142023 | 1900 | italiano | 1962 |  | M | M
giacomo Contri | Contri, giacomo | 3735799 | -1 | italiano | 1941 |  | M | M
David Cook | Cook, David | 5105985 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Paul Cook | Cook, Paul | 62712 | -1 | inglese | 1956 |  | M | M
Robin Cook | Cook, Robin | 5031239 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Catherine Cookson | Cookson, Catherine | 1968847 | 1900 | inglese | 1906 | 1998 | F | F
Thomas Cook | Cook, Thomas | 1997715 | -1 | inglese | 1808 | 1892 | M | M
Ananda Coomaraswamy | Coomaraswamy, Ananda | 1225922 | 1800 | dello Sri Lanka | 1877 | 1947 | M | M
Carleton Coon | Coon, Carleton | 3680495 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Dennis Cooper | Cooper, Dennis | 6171032 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Edmund Cooper | Cooper, Edmund | 3028313 | -1 | inglese | 1926 | 1982 | M | M
Glenn Cooper | Cooper, Glenn | 2474147 | 1900 | statunitense | 1953 |  | M | M
sergio Corazzini | Corazzini, sergio | 707464 | 1900 | italiano | 1886 | 1907 | M | M
jim Corbett | Corbett, jim | 4643178 | 1800 | inglese | 1875 | 1955 | M | M
hubert Corbin | Corbin, hubert | 1586314 | 1900 | francese | 1951 |  | M | M
Cordelia | Cordelia | 565873 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Franco Cordelli | Cordelli, Franco | 1864624 | 1900 | italiano | 1943 |  | M | M
Michael Cordy | Cordy, Michael | 2546978 | 1900 | britannico | 1962 |  | M | M
Robert Cormier | Cormier, Robert | 3507866 | 1900 | statunitense | 1925 | 2000 | M | M
Luigi Cornaro | Cornaro, Luigi | 3782172 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Pierre Corneille | Corneille, Pierre | 88981 | 1600 | francese | 1606 | 1684 | M | M
Ugo Cornia | Cornia, Ugo | 2653398 | 2000 | italiano | 1965 |  | M | M
Cesare Cornoldi | Cornoldi, Cesare | 6222008 | -1 | italiano | 1947 |  | M | M
Bernard Cornwell | Cornwell, Bernard | 1840678 | 1900 | britannico | 1944 |  | M | M
Patricia Cornwell | Cornwell, Patricia | 76973 | 1900 | statunitense | 1956 |  | F | F
Mauro Corona | Corona, Mauro | 497056 | 1900 | italiano | 1950 |  | M | M
Alberto Corradi | Corradi, Alberto | 1431947 | 2000 | italiano | 1971 |  | M | M
Giuseppe Corradi | Corradi, Giuseppe | 2213172 | -1 | italiano | 1932 | 2002 | M | M
Matteo Corradini | Corradini, Matteo | 4736747 | 1900 | italiano | 1975 |  | M | M
Julio Cortazar | Cortazar, Julio | 226946 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Paolo Cortesi | Cortesi, Paolo | 896903 | 1400 | italiano | 1471 | 1510 | M | M
Eugenio Corti | Corti, Eugenio | 580404 | 1900 | italiano | 1921 | 2014 | M | M
Maria Corti | Corti, Maria | 15684 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Silverio Corvisieri | Corvisieri, Silverio | 1043544 | 1900 | italiano | 1938 |  | M | M
luca Coscioni | Coscioni, luca | 224991 | 2000 | italiano | 1967 | 2006 | M | M
Andrea Cosentino | Cosentino, Andrea | 193207 | 1900 | italiano | 1967 |  | M | M
Giorgio Cosmacini | Cosmacini, Giorgio | 3026841 | 1900 | italiano | 1931 |  | M | M
Albert Cossery | Cossery, Albert | 6053554 | 1900 | egiziano | 1913 | 2008 | M | M
Francesco Cossiga | Cossiga, Francesco | 37437 | 1900 | italiano | 1928 | 2010 | M | M
antonio Cossu | Cossu, antonio | 4781509 | 1900 | italiano | 1927 | 2002 | M | M
Armando Cossutta | Cossutta, Armando | 86791 | 1900 | italiano | 1926 | -1 | M | M
Lella Costa | Costa, Lella | 262862 | 1900 | italiana | 1952 |  | F | F
Alberto Costantini | Costantini, Alberto | 6527287 | 1900 | italiano | 1953 |  | M | M
