Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Kiko Arguello | Arguello, Kiko | 1742557 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Arisa | Arisa | 2892877 | 2000 | italiana | 1982 |  | F | F
Louis Armstrong | Armstrong, Louis | 81845 | -1 | statunitense | 1901 | 1971 | M | M
Rudolf Arnheim | Arnheim, Rudolf | 760915 | 1900 | tedesco | 1904 | 2007 | M | M
Lorenzo Arruga | Arruga, Lorenzo | 6352941 | 1900 | italiano | 1937 |  | M | M
Jay Asher | Asher, Jay | 3678618 | 1900 | statunitense | 1975 |  | M | M
Isaac Asimov | Asimov, Isaac | 2285 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Pieter Aspe | Aspe, Pieter | 5117666 | -1 | belga | 1953 |  | M | M
Natalia Aspesi | Aspesi, Natalia | 449799 | 1900 | italiana | 1929 |  | F | F
Jan Assmann | Assmann, Jan | 1452551 | -1 | tedesco | 1938 |  | M | M
Jacques Attali | Attali, Jacques | 1651003 | 1900 | francese | 1943 |  | M | M
Margaret Atwood | Atwood, Margaret | 155082 | 1900 | canadese | 1939 |  | F | F
Sergio Atzeni | Atzeni, Sergio | 25435 | 1900 | italiano | 1952 | 1995 | M | M
Simona Atzori | Atzori, Simona | 1489268 | 2000 | italiana | 1974 |  | F | F
max Aub | Aub, max | 116589 | 1900 | spagnolo | 1903 | 1972 | M | M
Corrado Augias | Augias, Corrado | 129079 | 1900 | italiano | 1935 |  | M | M
Jane Austen | Austen, Jane | 2456760 | 1800 | britannica | 1775 | 1817 | F | F
Paul Auster | Auster, Paul | 70231 | 1900 | statunitense | 1947 |  | M | M
Mario Avagliano | Avagliano, Mario | 2126525 | 1900 | italiano | 1966 |  | M | M
Ippolita Avalli | Avalli, Ippolita | 5043486 | 1900 | italiana | 1949 |  | F | F
silvia Avallone | Avallone, silvia | 3074566 | 1900 | italiana | 1984 |  | F | F
Avancinio Avancini | Avancini, Avancinio | 4993827 | 1800 | italiano | 1866 | 1939 | M | M
Pupi Avati | Avati, Pupi | 1515310 | 1900 | italiano | 1938 |  | M | M
Nicole Avril | Avril, Nicole | 1790596 | 1900 | francese | 1939 |  | F | F
Isaak Babel | Babel, Isaak | 287026 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Riccardo Bacchelli | Bacchelli, Riccardo | 392572 | 1900 | italiano | 1891 | 1985 | M | M
Andrea Bacci | Bacci, Andrea | 495020 | 1500 | italiano | 1524 | 1600 | M | M
Ida Baccini | Baccini, Ida | 4454818 | 1800 | italiana | 1850 | 1911 | F | F
Federico Baccomo | Baccomo, Federico | 4473876 | 1900 | italiano | 1978 |  | M | M
Gaston Bachelard | Bachelard, Gaston | 874666 | 1900 | francese | 1884 | 1962 | M | M
Ingeborg Bachmann | Bachmann, Ingeborg | 383943 | 1900 | austriaca | 1926 | 1973 | F | F
Richard Bach | Bach, Richard | 1532295 | 1900 | statunitense | 1936 |  | M | M
Francesco Bacone | Bacone, Francesco | 837617 | 1500 | inglese | 1561 | 1626 | M | M
Elisabeth Badinter | Badinter, Elisabeth | 7018664 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Alain Badiou | Badiou, Alain | 349464 | 1900 | francese | 1937 |  | M | M
Joan Baez | Baez, Joan | 24939 | -1 | statunitense | 1941 |  | F | F
Giorgio Baffo | Baffo, Giorgio | 148093 | 1700 | italiano | 1694 | 1768 | M | M
Roberto Baggio | Baggio, Roberto | 2756416 | -1 | italiano | 1967 |  | M | M
Claudio Baglioni | Baglioni, Claudio | 2559909 | -1 | italiano | 1951 |  | M | M
Arnaldo Bagnasco | Bagnasco, Arnaldo | 4159514 | 1900 | italiano | 1936 | 2012 | M | M
Michael Baigent | Baigent, Michael | 2178399 | 1900 | neozelandese | 1948 | 2013 | M | M
Alice Bailey | Bailey, Alice | 623224 | 1900 | britannica | 1880 | 1949 | F | F
Adrien Baillet | Baillet, Adrien | 5355733 | -1 | francese | 1649 | 1706 | M | M
Bernard Bailyn | Bailyn, Bernard | 3782295 | -1 | statunitense | 1922 |  | M | M
Andrea Bajani | Bajani, Andrea | 1979272 | 1900 | italiano | 1975 |  | M | M
Alan Baker | Baker, Alan | 2276582 | -1 | inglese | 1939 | 2018 | M | M
Kage Baker | Baker, Kage | 431162 | -1 | statunitense | 1952 | 2010 | F | F
Robert Bakker | Bakker, Robert | 4542894 | -1 | statunitense | 1945 |  | M | M
Leon Bakst | Bakst, Leon | 383298 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Michail Bakunin | Bakunin, Michail | 1175418 | 1800 | russo | 1814 | 1876 | M | M
Natalino Balasso | Balasso, Natalino | 914145 | 2000 | italiano | 1960 |  | M | M
Cesare Balbo | Balbo, Cesare | 248006 | 1800 | italiano | 1789 | 1853 | M | M
Luigi Baldacci | Baldacci, Luigi | 1315922 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Fabio Baldassarri | Baldassarri, Fabio | 6442003 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Mario Baldassarri | Baldassarri, Mario | 256123 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Aleandro Baldi | Baldi, Aleandro | 2552127 | -1 | italiano | 1959 |  | M | M
Antonio Baldini | Baldini, Antonio | 1523396 | 1900 | italiano | 1889 | 1962 | M | M
Eraldo Baldini | Baldini, Eraldo | 347262 | 1900 | italiano | 1952 |  | M | M
Gabriele Baldini | Baldini, Gabriele | 742788 | 1900 | italiano | 1919 | 1969 | M | M
Marco Baldini | Baldini, Marco | 134865 | -1 | italiano | 1959 |  | M | M
Massimo Baldini | Baldini, Massimo | 2472411 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Ernesto Balducci | Balducci, Ernesto | 519935 | 1900 | italiano | 1922 | 1992 | M | M
James Baldwin | Baldwin, James | 53186 | 1900 | statunitense | 1924 | 1987 | M | M
Nanni Balestrini | Balestrini, Nanni | 670863 | 1900 | italiano | 1935 |  | M | M
Marco Baliani | Baliani, Marco | 395639 | 1900 | italiano | 1950 |  | M | M
Bruno Ballardini | Ballardini, Bruno | 1787316 | 1900 | italiano | 1954 |  | M | M
James Ballard | Ballard, James | 1099687 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Silvia Ballestra | Ballestra, Silvia | 1103508 | 1900 | italiana | 1969 |  | F | F
John Ball | Ball, John | 6184442 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Gianna Baltaro | Baltaro, Gianna | 3307295 | 1900 | italiana | 1926 | 2008 | F | F
Asun Balzola | Balzola, Asun | 3360918 | 1900 | spagnola | 1942 | 2006 | F | F
Yoshimoto Banana | Banana, Yoshimoto | 1274821 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Matteo Bandello | Bandello, Matteo | 99926 | 1500 | italiano | 1485 | 1561 | M | M
Giuseppe Bandi | Bandi, Giuseppe | 772588 | 1800 | italiano | 1834 | 1894 | M | M
Fernando Bandini | Bandini, Fernando | 460542 | 1900 | italiano | 1931 | 2013 | M | M
Franco Bandini | Bandini, Franco | 6640379 | 1900 | italiano | 1921 | 2004 | M | M
Richard Bandler | Bandler, Richard | 102558 | 1900 | statunitense | 1950 |  | M | M
Carlo Banfi | Banfi, Carlo | 4451956 | -1 | italiano |  | ? | M | M
Iain Banks | Banks, Iain | 116025 | 1900 | scozzese | 1954 | 2013 | M | M
Anna Banti | Banti, Anna | 604973 | 1900 | italiana | 1895 | 1985 | F | F
John Banville | Banville, John | 2414806 | 1900 | irlandese | 1945 |  | M | M
Barbara Baraldi | Baraldi, Barbara | 1208012 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Pierangelo Baratono | Baratono, Pierangelo | 5200613 | 1900 | italiano | 1880 | 1927 | M | M
Gianni Barbacetto | Barbacetto, Gianni | 450050 | 1900 | italiano	 | 1952 |  | M | M
Francesco Barbagallo | Barbagallo, Francesco | 2251776 | 1900 | italiano | 1945 |  | M | M
Ugo Barbara | Barbara, Ugo | 3460299 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Eugenio Barbarich | Barbarich, Eugenio | 1113847 | 1800 | italiano | 1863 | 1931 | M | M
Paolo Barbaro | Barbaro, Paolo | 1270762 | 1900 | italiano | 1922 | 2014 | M | M
Paola Barbato | Barbato, Paola | 636170 | 1900 | italiana | 1971 |  | F | F
Giuseppe Barbera | Barbera, Giuseppe | 3695135 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Chris Barber | Barber, Chris | 5095544 | -1 | inglese | 1930 |  | M | M
Alessandro Barbero | Barbero, Alessandro | 227448 | 1900 | italiano | 1959 |  | M | M
Richard Barber | Barber, Richard | 721856 | -1 | britannico | 1941 |  | M | M
Muriel Barbery | Barbery, Muriel | 1480212 | 2000 | francese | 1969 |  | F | F
Barbieri | Barbieri | 642574 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Ulisse Barbieri | Barbieri, Ulisse | 3554512 | 1800 | italiano | 1842 | 1899 | M | M
Roberto Barbolini | Barbolini, Roberto | 3327990 | 1900 | italiano | 1951 |  | M | M
Guido Barbujani | Barbujani, Guido | 1694776 | 1900 | italiano | 1955 |  | M | M
Luciano Barca | Barca, Luciano | 245937 | 1900 | italiano | 1920 | 2012 | M | M
Pietro Barcellona | Barcellona, Pietro | 3965577 | 1900 | italiano | 1936 | 2013 | M | M
Alex Barclay | Barclay, Alex | 6443039 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Daniel Barenboim | Barenboim, Daniel | 305031 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Camilla Baresani | Baresani, Camilla | 2752298 | 2000 | italiana | 1961 |  | F | F
Sonny Barger | Barger, Sonny | 1199629 | 1900 | statunitense | 1938 |  | M | M
Alessandro Baricco | Baricco, Alessandro | 17458 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Bruno Barilli | Barilli, Bruno | 1363862 | 1800 | italiano | 1880 | 1952 | M | M
Clive Barker | Barker, Clive | 203851 | 1900 | britannico | 1952 |  | M | M
Dominic Barker | Barker, Dominic | 2169490 | 2000 | inglese | 1966 |  | M | M
Susan Barker | Barker, Susan | 6869918 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
