Luigi Chiarelli | Chiarelli, Luigi  | 777146 | 1900 | italiano | 1880 | 1947 | M | M|commediografo|scrittore
Giuseppe Chiarini | Chiarini, Giuseppe  | 1237285 | 1800 | italiano | 1833 | 1908 | M | M|letterato|critico letterario
Pietro Chiesa | Chiesa, Pietro  | 5455739 | 1800 | italiano | 1858 | 1915 | M | M|politico|non trovata
Emanuele Ciaceri | Ciaceri, Emanuele  | 3895347 | 1900 | italiano | 1869 | 1944 | M | M|storico|non trovata
Domenico Ciampoli | Ciampoli, Domenico  | 2291973 | 1800 | italiano | 1852 | 1929 | M | M|scrittore|bibliotecario
Galeazzo Ciano | Ciano, Galeazzo  | 21581 | 1900 | italiano | 1903 | 1944 | M | M|diplomatico|politico
Giorgio Cicogna | Cicogna, Giorgio  | 2018041 | 1900 | italiano | 1899 | 1932 | M | M|scrittore|scienziato
Delfino Cinelli | Cinelli, Delfino  | 4346484 | 1900 | italiano | 1889 | 1942 | M | M|scrittore|traduttore
Giovanni Cittadella | Cittadella, Giovanni  | 1665192 | 1800 | italiano | 1806 | 1884 | M | M|politico|non trovata
Tommaso Claps | Claps, Tommaso  | 2357156 | 1800 | italiano | 1871 | 1945 | M | M|giurista|poeta
Igino Cocchi | Cocchi, Igino  | 3544701 | 1800 | italiano | 1827 | 1913 | M | M|geologo|paleontologo
Pietro Colletta | Colletta, Pietro  | 19250 | 1800 | italiano | 1775 | 1831 | M | M|patriota|storico
Eugenio Colorni | Colorni, Eugenio  | 312832 | 1900 | italiano | 1909 | 1944 | M | M|filosofo|politico
Domenico Comparetti | Comparetti, Domenico  | 1480417 | 1800 | italiano | 1835 | 1927 | M | M|filologo|non trovata
Orso Mario Corbino | Corbino, Orso Mario  | 339912 | 1800 | italiano | 1876 | 1937 | M | M|fisico|politico
Giovanni Maria Cornoldi | Cornoldi, Giovanni Maria  | 1905914 | 1800 | italiano | 1822 | 1892 | M | M|gesuita|accademico
Enrico Corradini | Corradini, Enrico  | 266294 | 1900 | italiano | 1865 | 1931 | M | M|scrittore|politico
Pietro Cossa | Cossa, Pietro  | 2909780 | 1800 | italiano | 1830 | 1881 | M | M|drammaturgo|non trovata
Andrea Costa | Costa, Andrea  | 708054 | 1800 | italiano | 1851 | 1910 | M | M|politico|non trovata
Francesco Crispi | Crispi, Francesco  | 47263 | 1800 | italiano | 1818 | 1901 | M | M|patriota|politico
Vincenzo Cuoco | Cuoco, Vincenzo  | 201051 | 1800 | italiano | 1770 | 1823 | M | M|scrittore|giurista
Eugenio Curiel | Curiel, Eugenio  | 1977335 | 1900 | italiano | 1912 | 1945 | M | M|partigiano|fisico
Antonio Curti | Curti, Antonio  | 3449599 | 1800 | italiano | 1858 | 1945 | M | M|giornalista|storico
Francesco Cusani | Cusani, Francesco  | 6601205 | 1900 | italiano | 1802 | 1879 | M | M|storico|scrittore
Lucio D'Ambra | D'Ambra, Lucio  | 2951440 | 1900 | italiano | 1880 | 1939 | M | M|scrittore|regista
Alessandro D'Ancona | D'Ancona, Alessandro  | 403397 | 1800 | italiano | 1835 | 1914 | M | M|scrittore|critico letterario
Edmondo De Amicis | De Amicis, Edmondo  | 1721 | 1800 | italiano | 1846 | 1908 | M | M|scrittore|giornalista
Augusto De Angelis | De Angelis, Augusto  | 1705497 | 1900 | italiano | 1888 | 1944 | M | M|scrittore|giornalista
Abele De Blasio | De Blasio, Abele  | 1687461 | 1800 | italiano | 1858 | 1945 | M | M|antropologo|non trovata
Filippo De Boni | De Boni, Filippo  | 3495611 | 1800 | italiano | 1816 | 1870 | M | M|giornalista|scrittore
Lauro De Bosis | De Bosis, Lauro  | 233613 | 1900 | italiano | 1901 | 1931 | M | M|scrittore|poeta
Angelo De Gubernatis | De Gubernatis, Angelo  | 467179 | 1800 | italiano | 1840 | 1913 | M | M|scrittore|linguista
Alessandro Della Seta | Della Seta, Alessandro  | 2140243 | 1900 | italiano | 1879 | 1944 | M | M|archeologo|storico dell'arte
Isidoro Del Lungo | Del Lungo, Isidoro  | 97053 | 1800 | italiano | 1841 | 1927 | M | M|storico|scrittore
Federico Delpino | Delpino, Federico  | 2691713 | 1800 | italiano | 1833 | 1905 | M | M|botanico|non trovata
Olinto De Pretto | De Pretto, Olinto  | 298756 | 1800 | italiano | 1857 | 1921 | M | M|fisico|imprenditore
Federico De Roberto | De Roberto, Federico  | 99157 | 1800 | italiano | 1861 | 1927 | M | M|scrittore|non trovata
